"","Week","player","OffTeam","points"
"1",1,"R.Wilson","SEA",35.88
"2",1,"P.Manning","DEN",68.36
"3",2,"R.Wilson","SEA",29.32
"4",2,"P.Manning","DEN",41.8
"5",3,"R.Wilson","SEA",24.88
"6",3,"P.Manning","DEN",26.88
"7",4,"R.Wilson","SEA",11.44
"8",4,"P.Manning","DEN",28.84
"9",5,"R.Wilson","SEA",26.32
"10",5,"P.Manning","DEN",38.46
"11",6,"P.Manning","DEN",19.3
"12",6,"R.Wilson","SEA",16.6
"13",7,"R.Wilson","SEA",23.44
"14",7,"P.Manning","DEN",26.6
"15",8,"P.Manning","DEN",29.56
"16",8,"R.Wilson","SEA",13.24
"17",9,"R.Wilson","SEA",26.58
"18",10,"R.Wilson","SEA",21.16
"19",10,"P.Manning","DEN",28.52
"20",11,"R.Wilson","SEA",18.36
"21",11,"P.Manning","DEN",16.92
"22",12,"P.Manning","DEN",13.4
"23",13,"P.Manning","DEN",36.12
"24",13,"R.Wilson","SEA",28.88
"25",14,"P.Manning","DEN",31.88
"26",14,"R.Wilson","SEA",11.48
"27",15,"P.Manning","DEN",19.08
"28",15,"R.Wilson","SEA",16.08
"29",16,"P.Manning","DEN",31.88
"30",16,"R.Wilson","SEA",10.76
"31",17,"P.Manning","DEN",26.28
"32",17,"R.Wilson","SEA",10.52
"33",19,"R.Wilson","SEA",5.72
"34",19,"P.Manning","DEN",17.2
"35",20,"P.Manning","DEN",24
"36",20,"R.Wilson","SEA",11.94
"37",22,"R.Wilson","SEA",18.84
"38",22,"P.Manning","DEN",13.96
